event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SRI5995,"17 May 2022",2022,1,Demonstrations,Protests,"Protest with intervention","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,"Rioters (Sri Lanka)",,5,56,,144,"South Asia","Sri Lanka",Northern,Mullaitivu,,Puthukudiyiruppu,9.3106,80.6946,2,Virakesari,National,"On 17 May 2022, a group of people travelling across Sri Lanka to protest demanding justice for Tamil people arrived in Puthukudiyiruppu (Puthukudiyiruppu, Mullaitivu, Northern), and were intervened and threatened by a group of people.",0,"crowd size=no report",1680035153
SRI5970,"17 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Lawyers (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Lankadeepa,National,"On 17 May 2022, Sri Lanka Bar Association lawyers staged a protest in Hulftsdorp court complex in Colombo (Colombo, Western) demanding the arrest of people who attacked peaceful protesters on May 9 amid the current economic crisis.",0,"crowd size=no report",1714518557
SRI5971,"16 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","SYU: Socialist Youth Union",6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Virakesari,National,"On 16 May 2022, members of the Socialist Youth Union staged a protest in front of the police station in Colombo (Colombo, Western), demanding the police to arrest government supporters that attacked peaceful protesters in Colombo on 9 May. The May 9 protesters were demanding the resignation of the government over the current economic crisis.",0,"crowd size=no report",1714518557
SRI5974,"16 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Virakesari,National,"On 16 May 2022, people staged a protest in the protest site 'Gota Go Gama' at Galle Face in Colombo (Colombo, Western), demanding the resignation of the President and the government. They have been protesting there since 9 April 2022 over the current economic crisis.",0,"crowd size=no report",1714518557
SRI5988,"15 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Gampaha,,Minuwangoda,7.1663,79.9533,1,"News1st (Sri Lanka)",National,"On 15 May 2022, people staged a protest in Minuwangoda (Gampaha, Western), against the fuel shortage and demanding fuel amid the current economic crisis.",0,"crowd size=no report",1680633903
SRI5975,"15 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Virakesari,National,"On 15 May 2022, police intervened in a protest in Colombo (Colombo, Western). Protesters marched in the city toward the President's Alari Palace demanding the arrest of former Prime Minister and the people that attacked peaceful protesters on 9 May. They also demanded the government to stop arresting peaceful protesters that participated in the 9 May protests.",0,"crowd size=no report",1714518557
SRI5989,"15 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Gampaha,,Wattala,6.9779,79.8898,1,"News1st (Sri Lanka)",National,"On 15 May 2022, people staged a protest in Wattala (Gampaha, Western) demanding kerosine amid the current economic crisis.",0,"crowd size=no report",1714518557
SRI5976,"14 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Colombo,6.9319,79.8478,1,Virakesari,National,"On 14 May 2022, people staged a protest in the town of Gunasingapura in Colombo city (Colombo, Western) demanding cooking gas amid the current economic crisis.",0,"crowd size=no report",1714518557
SRI5978,"14 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,"Slave Island",6.9257,79.8504,1,Lankadeepa,National,"On 14 May 2022, people staged a protest in Slave Island (Colombo, Western) demanding cooking gas amid the current economic crisis.",0,"crowd size=no report",1714518557
SRI5979,"14 May 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,Mattakkuliya,6.9747,79.8738,1,Lankadeepa,National,"On 14 May 2022, people staged a protest in Mattakkuliya (Colombo, Western) demanding cooking gas amid the current economic crisis.",0,"crowd size=no report",1714518557
